Column 1,Column 2,Column 3,Column 4
CSE 4321 - SOFTWARE TESTING & MAINTENANCE,,,
001-LEC,TuTh 11:00AM - 12:20PM,NH 229,Yu Lei
CSE 4322 - SOFTWARE PROJECT MANAGEMENT,,,
001-LEC,MoWeFr 3:00PM - 3:50PM,ERB 130,Ronald Eugene Cross
CSE 4331 - DATABASE IMPLEMENTATION AND THEORY,,,
002-LEC,TuTh 12:30PM - 1:50PM,NH 111,Upendranath Chakravarthy
CSE 4334 - DATA MINING,,,
001-LEC,TuTh 2:00PM - 3:20PM,UH 121,Chengkai Li
CSE 4340 - MOBILE SYSTEMS ENGINEERING,,,
001-LEC,TuTh 3:30PM - 4:50PM,NH 106,Taylor T Johnson
CSE 4342 - EMBEDDED SYSTEMS II,,,
001-LEC,TuTh 12:30PM - 1:50PM,ERB 129,Roger S Walker
CSE 4344 - COMPUTER NETWORK ORGANIZATION,,,
001-LEC,TuTh 2:00PM - 3:20PM,SH 332,Yonghe Liu
003-LEC,TuTh 3:30PM - 4:50PM,NH 108,James M O'Dell
CSE 4360 - AUTONOMOUS ROBOT DESIGN AND PROGRAMMING,,,
001-LEC,MoWe 4:00PM - 5:20PM,SH 331,Gian-Luca Mariottini
CSE 4379 - UNMANNED VEHICLE SYSTEM DEVELOPMENT,,,
001-LEC,TuTh 8:00AM - 9:20AM,NH 100,Manfred Huber
CSE 4391 - INDIVIDUAL PROJECTS,,,
001-IND,TBA,TBA,Linda S Barasch
CSE 4392 - SPECIAL TOPICS,,,
001-LEC,TuTh 3:30PM - 4:50PM,WH 308,Matthew Wright
003-LEC,MoWe 7:00PM - 8:20PM,NH 106,David Levine
Graduate Courses,,,
CSE 5191 - INDIVIDUAL STUDY IN COMPUTER SCIENCE,,,
001-IND,TBA,TBA,Ramez A Elmasri
CSE 5194 - ORIENTATION SEMINAR,,,
001-SEM,Fr 12:00PM - 5:00PM,TBA,Ramez A Elmasri
CSE 5301 - DATA ANALYSIS & MODELING TECHNIQUES,,,
001-LEC,TuTh 2:00PM - 3:20PM,PKH 103,Jean Xuejing Gao
CSE 5306 - DISTRIBUTED SYSTEMS,,,
001-LEC,TuTh 11:00AM - 12:20PM,ERB 129,Donggang Liu
002-LEC,MoWeFr 9:00AM - 9:50AM,WH 308,Stephen M Morgan
003-LEC,MoWeFr 10:00AM - 10:50AM,ERB 130,Stephen M Morgan
004-LEC,TuTh 3:30PM - 4:50PM,COBA252,Donggang Liu
CSE 5307 - PROGRAMMING LANGUAGE CONCEPTS,,,
001-LEC,TuTh 9:30AM - 10:50AM,ERB 131,Bob P Weems
CSE 5311 - DESIGN AND ANALYSIS OF ALGORITHMS,,,
001-LEC,TuTh 5:30PM - 6:50PM,NH 112,Chris H Q Ding
002-LEC,MoWe 4:00PM - 5:20PM,NH 110,Yuanzhe Cai
003-LEC,TuTh 12:30PM - 1:50PM,PKH 109,Gautam Das
004-LEC,TuTh 5:30PM - 6:50PM,GACB103,Yuanzhe Cai
CSE 5317 - DESIGN AND CONSTRUCTION OF COMPILERS,,,
001-LEC,TuTh 2:00PM - 3:20PM,GS 109,Leonidas Fegaras
CSE 5320 - SPECIAL TOPICS IN SOFTWARE ENGINEERING,,,
001-LEC,Fr 1:00PM - 3:50PM,ERB 129,Dennis Frailey
002-LEC,Tu 5:30PM - 8:20PM,LS 424,Eknauth Persaud
CSE 5321 - SOFTWARE TESTING,,,
001-LEC,TuTh 9:30AM - 10:50AM,SH 330,John Howard Robb
002-LEC,TuTh 2:00PM - 3:20PM,PKH 102,John Howard Robb
"CSE 5324 - SOFTWARE ENGINEERING: ANALYSIS, DESIGN, AND TESTING",,,
001-LEC,MoWe 5:30PM - 6:50PM,ERB 103,Christoph Csallner
002-LEC,MoWeFr 11:00AM - 11:50AM,ERB 130,Stephen M Morgan
003-LEC,TuTh 5:30PM - 6:50PM,PKH 102,John Howard Robb
"CSE 5325 - SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE",,,
001-LEC,TuTh 2:00PM - 3:20PM,NH 108,Bahra Khalili Najafabadi
